"Business Name","Doing Business As","Business Address","Business Geo Location"
"KISMET HEALTHY FOODS RVA LLC","KISMET MODERN INDIAN","2918 W BROAD ST","POINT (-77.47193 37.5639)"
"LPS OF AMERICA","LANIER PARKING SOLUTIONS","100 SHOCKOE SLIP LL","POINT (-77.43385 37.5352)"
"MOTLEYS LOGISTIC SYSTEMS LLC",,"2700 DEEPWATER TERMINAL RD","POINT (-77.43129 37.48721)"
"COOL CONSESSIONS CATERING INC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"VAPE SHOP INC",,"4203 NORTH AVE","POINT (-77.44202 37.58646)"
"GOLD STAR FOODS OF VIRGINIA INC",,"3410 NORFOLK ST","POINT (-77.47296 37.57206)"
"J & J GENERAL CONSTRUCTION LLC",,"1832 FACTORY HILL RD","POINT (-77.37926 37.44392)"
"RATTLESNAKE CREEK LLC",,"4635 ARROWHEAD RD","POINT (-77.54108 37.55753)"
"PILLAR AND PEACOCK LLC",,"5612 GROVE AVE","POINT (-77.51659 37.57308)"
"ROBERTS HOME MEDICAL LLC",,"227 E GERMAN SCHOOL RD","POINT (-77.50383 37.50184)"
"RADHE GOVIND LLC","CHAMBERLAYNE MOTEL","1002 AZALEA AVE","POINT (-77.45098 37.60212)"
"CANDLER JANE COOK","JANE COOK INTERIORS","4211 KENSINGTON AVE","POINT (-77.49259 37.56621)"
"SIMON ALEXANDER NATHAN PC",,"2604 W MAIN ST","POINT (-77.47354 37.55195)"
"GENERAL LAND COMMERCIAL REAL ESTATE LLC",,"2800 PATTERSON AVE","POINT (-77.47244 37.55962)"
"BEZA INVESTMENT GROUP LLC",,"2219 FAIRMOUNT AVE","POINT (-77.41303 37.54185)"
"KMJ WOODWRIGHT INC",,"3317 E MARSHALL ST A","POINT (-77.41011 37.52768)"
"HAYWOODS HAIR IMAGES LTD","HAYWOOD HAIR IMAGES","2201 SEMMES AVE","POINT (-77.45594 37.52152)"
"HULL STREET MERCHANTS ASSOCIATION",,"1417 HULL ST 1/2","POINT (-77.44622 37.51961)"
"STEVEN TAYLOR ELECTRICAL SERVICES",,"4506 BEXWOOD DR","POINT (-77.59324 37.42883)"
"YOUNG WILLIAM H MD",,"700 W GRACE ST 103","POINT (-77.44916 37.5486)"
"WALKING DOG PRODUCTIONS LLC","WALKING DOG PRODUCTIONS","629 E MAIN ST 103","POINT (-77.43828 37.5394)"
"TELCOM SYSTEMS LLC",,"808 NEWTOWN ROAD","POINT (-76.77369 37.99966)"
"SNS ENTERPRISES INC","701 EXPRESS","701 RICHMOND HWY","POINT (-77.44757 37.50996)"
"SUPER FAST TAX REFUND LLC","SUPER FAST TAX REFUND","308 E BROAD ST","POINT (-77.43893 37.54392)"
"THE THE SHERWIN WILLIAMS COMPANY","DURON PAINTS & WALLCOVERINGS #3377","6516 HULL STREET RD","POINT (-77.5132 37.48046)"
"GOOD TASTE INC","GOOD TASTE CHINESE RESTAURANT","913 W GRACE ST","POINT (-77.45215 37.55043)"
"REVEE LLC",,"5300 PATTERSON AVE","POINT (-77.50856 37.57609)"
"COMMONWEALTH CONSTRUCTION MGMT LLC",,"7110 FOREST AVE 102","POINT (-77.52863 37.60459)"
"BOWERY LLC","THE ROOSEVELT","623 N 25TH ST","POINT (-77.41567 37.53491)"
"VETCOR OF VIRGINIA LLC","STRATFORD HILLS VETERINARY CENTER","6927 FOREST HILL AVE","POINT (-77.5224 37.53767)"
"HD ELECTRICAL LLC",,"9350 FALLOW DR","POINT (-77.52109 37.38548)"
"PURITAN SYSTEMS INC","PURITAN CLEANERS","2560 SHEILA LANE 1","POINT (-77.53388 37.53648)"
"PALMORE JULIE F DR",,"900 N HAMILTON ST #C","POINT (-77.48482 37.56511)"
"VISIBLE PROOF",,"122 GRANITE AVE","POINT (-77.5173 37.57242)"
"OUT THE WAY TRANSPORTATION",,"1421 BLAIR ST","POINT (-77.46364 37.53969)"
"ARGUETA MAX","UNITED GROCERY","2200 BROAD ROCK BLVD","POINT (-77.47593 37.48692)"
"WHOLE FOODS MARKET GROUP INC","WHOLE FOODS MARKET","2024 W BROAD ST","POINT (-77.46153 37.55809)"
"HUNGRY HEART LLC",,"812 N ROBINSON ST","POINT (-77.46756 37.56015)"
"CC TAYLOR ELECTRIC LLC",,"2941 DEERCREEK TRL",
"INTERNATIONAL ROOFING CORP",,"2200 MAGNOLIA ST","POINT (-77.41393 37.5599)"
"MCFADDEN ELECTRIC INC",,"105 MEADOW RIDGE LN","POINT (-77.465 37.55077)"
"SOUTH STONE ENTERPRISES LLC","BISHOPS ON BROAD RICHMOND","826 W BROAD ST","POINT (-77.44944 37.5501)"
"BLACK WIDOW LINGERIE LLC",,"2405 E FRANKLIN ST","POINT (-77.42098 37.53022)"
"HUDSON SHEET METAL CO",,"10041 WHITESEL ROAD","POINT (-77.44111 37.70453)"
"LYTHOS INC",,"212 E FRANKLIN ST A","POINT (-77.4412 37.54247)"
"GRANITE TELECOMMUNICATIONS LLC","606624/002690","1 Heritage Drive",
"JC DESSERTS LLC",,"2601 MAURY ST 2","POINT (-77.45488 37.51192)"
"BUY THE POUND INC","PERLY'S","111 E GRACE ST","POINT (-77.44138 37.54394)"
"LIN JARRETT ENTERPRISES INC",,"301 E BANK ST",
"BROAD ST MINI MART INC",,"1387 W BROAD ST","POINT (-77.45556 37.55376)"
"CHRISTY MOSELEY LLC",,"1801 HIGHPOINT AVE 6","POINT (-77.46903 37.57038)"
"ACHJLMW CORPORATION","THE FRANKLIN INN","800 CLEVELAND ST","POINT (-77.4767 37.56296)"
"STEVE PITTMAN CONSTUCTION",,"309 FLOWERING FIELDS","POINT (-76.36044 37.68438)"
"ROBERT JOHNSON TAX LAW PLLC",,"1108 E MAIN ST 600","POINT (-77.43414 37.53694)"
"THE COBRA CONSORTIUM CORP","COBRA CABANA","901 W MARSHALL ST","POINT (-77.44881 37.55108)"
"CLEAR TRAIL REAL ESTATE MANAGEMENT LLC",,"1400 BELLEVILLE STREET","POINT (-77.47638 37.57052)"
"OLD DOMINION FLOOR CO INC",,"3350 SPEEKS DR","POINT (-77.59497 37.44082)"
"FREE BRIDGE CONTRACTING LLC",,"2213 GROVE AVE","POINT (-77.46764 37.55252)"
"GRAMOPHONE LLC","GRAMOPHONE","4827 FOREST HILL AVE","POINT (-77.48809 37.52126)"
"KERR GOVERNMENT STRATEGIES LLC",,"1917 HANOVER AVE","POINT (-77.46351 37.5524)"
"AMC TECHNOLOGY LLC",,"1707 SUMMIT AVE 201","POINT (-77.46876 37.56901)"
"CLASSIC CONCRETE LC",,"2150 CARTER GALLIER BLVD C","POINT (-77.79391 37.52112)"
"BEST VISION PLLC #5761",,"2400 SHEILA LN","POINT (-77.53314 37.53486)"
"JOHN K GEORGE & COMPANY",,"5005 W CLAY ST","POINT (-77.49571 37.58603)"
"J R HYATT CO INC","GLASS BOAT LTD","3226 W CARY ST","POINT (-77.4837 37.55425)"
"MANY MOONS BREAD LLC",,"4325 KNOB ROAD","POINT (-77.55377 37.55478)"
"HOSPITAL HOSPITALITY HOUSE OF RMD INC","THE DOORWAYS","612 E MARSHALL ST","POINT (-77.43499 37.54283)"
"COPILOT PET SERVICES LLC",,"506 S PINE ST","POINT (-77.45046 37.53883)"
"ACCENTURE LLP",,"701 E FRANKLIN ST 1315","POINT (-77.43711 37.54)"
"CHOI KYUNG DOO & SUN Y CHOI","GRACE LAUNDRY & CLEANERS","1221 JEFFERSON DAVIS HWY","POINT (-77.44596 37.50368)"
"JOHN TESTERMAN PLUMBING INC",,"3161 PORTUGEE RD",
"BLUE HERON CAPITAL PARTNERS LLC",,"1519 SUMMIT AVE","POINT (-77.47024 37.56788)"
"DSA VENTURES LLC","SUPERIOR FENCE & RAIL OF RICHMOND","3310 DEEPWATER TERMINAL RD 104","POINT (-77.42897 37.47759)"
"WACO INC- RICHMOND DIVISION",,"5450 LEWIS ROAD","POINT (-77.34152 37.5128)"
"VIRGINIA PUBLIC ACCESS PROJECT INC",,"1209 E CARY ST 200","POINT (-77.43419 37.53561)"
"CASTLE EQUIPMENT CORPORATION",,"2000 BELLWOOD RD","POINT (-77.42591 37.41348)"
"RDS UTILITIES LC",,"2150 CARTER GALLIER BLVD C","POINT (-77.79391 37.52112)"
"INDUS SUPERMARKET",,"3124 BROAD ROCK BOULEVARD","POINT (-77.48235 37.47335)"
"FIREHOUSE THEATRE PROJECT INC",,"1609 W BROAD ST","POINT (-77.45661 37.55439)"
"SANDBAR BILLING SOLUTIONS LLC",,"9119 STONY POINT PKWY 4112","POINT (-77.56829 37.54928)"
"PRISM CONTRACTORS & ENGINEERS INC",,"1568 MANUFACTURE DR","POINT (-76.60785 37.20295)"
"LETT HARDWARE, INC.",,"3701 CURTIS ST","POINT (-77.43559 37.35541)"
"ESCRO MOTORS II LLC","EL SHADDAI MOTORS","5506 HULL STREET ROAD","POINT (-77.4943 37.48882)"
"CORTEZ JAIME R","J C AUTO REPAIR","5255 HULL STREET RD 16","POINT (-77.48953 37.4906)"
"PAPER BLOOMERY LLC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"EURO GLAM",,"5901 PATTERSON AVE","POINT (-77.51672 37.58071)"
"MCLEAN BEST WINGS INC","AMERICAS BEST WINGS","7037 FOREST HILL AVE B","POINT (-77.52514 37.53552)"
"CARING PEOPLE LLC","CHICK-FIL-A AT STRATFORD HILLS","7125 FOREST HILL AVE","POINT (-77.52706 37.53712)"
"MATRYX SYSTEMS INC",,"816 BLANTON AVE","POINT (-77.48146 37.54497)"
"AZIZ BAKER ENTERPRISE LLC",,"1726 W LABURNUM AVE","POINT (-77.46666 37.58408)"
"NADER ENTERPRISES II INC","FOUR BROTHERS BISTRO AND GRILL INC","711 N LOMBARDY ST A","POINT (-77.45542 37.55445)"
"CARVALHO & COMPANY LLC",,"1728 FAITH LN","POINT (-77.80496 37.66074)"
"EL NUEVO HAPPY MART LLC",,"5761 HULL STREET RD","POINT (-77.49869 37.48494)"
"PATROM PAMELA","TOUCH OF PRIDE PERSONAL SERVICE","501 CRIEFF RD","POINT (-77.51021 37.51015)"
"LUMOS TELEPHONE INC",,"1 LUMOS PLZ",
"WE R VA 1 LLC","CARINNES","7 N 17TH ST","POINT (-77.42829 37.53371)"
"GRAHAM BRYANT INC",,"2811 PATTERSON AVE","POINT (-77.47297 37.5598)"
"RHEE YOUN CHA","U S BEAUTY SUPPLY","2500 Q ST","POINT (-77.41217 37.53839)"
"SAFE HARBOR TITLE OF CHARLOTTESVILLE LLC",,"4900 AUGUSTA AVE 150","POINT (-77.4961 37.57932)"
"SARA NASS, CURTIS LEE","BASIC CITY BEER COMPANY","212 W 6TH ST","POINT (-77.44204 37.52619)"
"MINKS YOUTH & FAMILY SERVICES LLC",,"4801 HERMITAGE RD","POINT (-77.46637 37.59794)"
"SEAN TREMBLY",,"800 NORTH DAVIS AVE","POINT (-77.46639 37.55967)"
"JAMES RIVER ELECTRIC INC",,"6132 BLEST LN","POINT (-77.50427 37.40658)"
"J.R. WALKER & CO LLC",,"5314 TWIN HICKORY ROAD","POINT (-77.54921 37.55934)"
"D S MITCHELL ELECTRIC INC",,"3312 RIVER COURT",
"ACREE MATTHEW SCOTT","MATT'S SERVICES","4100 WALMSLEY BLVD","POINT (-77.47276 37.47023)"
"WILLIAM A HARRISON JR FOUNDATION","FURBISH THRIFT","2833 HATHAWAY RD","POINT (-77.51844 37.53898)"
"COMPUTER CAVE LLC","COMPUTER CAVE","11 S 15TH ST","POINT (-77.43076 37.53417)"
"CLARK HOME SOLUTIONS, LLC","GENERATOR SUPERCENTER OF VIRGINIA","9830 W BROAD ST","POINT (-77.56518 37.64209)"
"COLBERT PLUMBING INC",,"4351 FOXWORTH LANE",
"MANUKA FINANCIAL LLC",,"3910 W FRANKLIN ST","POINT (-77.48566 37.56642)"
"LEVCO MANAGEMENT LLC","LEVCO MANAGEMENT LLC","308 N NANSEMOND ST","POINT (-77.48373 37.56034)"
"SUTTON CLARK SUPPLY INC",,"1705 BROOK ROAD","POINT (-77.44697 37.55942)"
"T & H VAPE AND TOBACCO INC",,"2606 WALMSLEY BLVD","POINT (-77.44345 37.46077)"
"VBJAYA 123 LLC","KOKEE TEA","3152 W CARY ST","POINT (-77.48191 37.55385)"
"ULTIMATE POOLS INC",,"2175 LANIER LN","POINT (-77.66098 37.70172)"
"FORTY-TWO CONTRACTING INC",,"938 E 4TH ST","POINT (-77.42945 37.51756)"
"THRESHOLDS DESIGN LLC",,"3509 MOODY AVE","POINT (-77.47136 37.51183)"
"GREY FOX ELECTRIC LLC",,"9900 SUMMIT RD","POINT (-77.69205 37.36507)"
"BUTCHER TOWN LLC","METZGER BAR & BUTCHERY","801 N 23RD ST","POINT (-77.41638 37.53718)"
"SQUARE POINT LLC","SQUARE POINT BUILDERS","4530 NEW KENT AVENUE","POINT (-77.48066 37.52276)"
"CLUB 533 INC",,"700 N 3RD ST","POINT (-77.43553 37.54787)"
"EV DESIGNS LTD",,"5402 CARY STREET RD","POINT (-77.51661 37.56834)"
"MARSHALL LISA","LAUGHING WATER ARTS","4016 NORTHROP ST","POINT (-77.47707 37.51333)"
"MILLMAR HOMES LLC",,"1235 DOVER CREEK LN","POINT (-77.73462 37.64632)"
"WITS WORLD LLC",,"2536 N LOMBARDY RD","POINT (-77.44459 37.56659)"
"GODLEY Y A",,"122 W 33RD ST","POINT (-77.46854 37.51311)"
"SEBE STUDIO LLC",,"2324 PARKWOOD AVE","POINT (-77.47146 37.54897)"
"TASTE DAMM GOOD LLC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"RAVEZ LLC",,"405 N HANCOCK ST","POINT (-77.45034 37.55225)"
"WHITEHEAD CLAUDE",,"420 LIBBIE AVE","POINT (-77.51779 37.57596)"
"SECURITAS TECHNOLOGY CORPORTATION",,"8350 SUNLIGHT DRIVE",
"CONTRACTING SPECIALISTS INC DC",,"1806 SUMMIT AVE","POINT (-77.46765 37.57045)"
"CENTRAL MONTESSORI SCHOOL OF VA LLC","CENTRAL INFANT TODDLER","2107 JEFFERSON AVE","POINT (-77.42093 37.53473)"
"GREEN DREAMS LLC",,"2517 CHAMBERLAYNE AVE","POINT (-77.44415 37.56628)"
"CLANCY & THEYS CONSTRUCTION CO",,"11830 FISHING POINT DR","POINT (-76.47848 37.08672)"
"MPOWER AUTO CARE CORPORATION",,"318 W 19TH ST","POINT (-77.4518 37.52047)"
"2939 WEST CLAY LLC","LONGOVEN","2939 W CLAY ST","POINT (-77.47082 37.56575)"
"VICTORY BAR & GRILL",,"4303 COMMERCE RD","POINT (-77.42835 37.4662)"
"TEXAS HOLDINGS, INC.","TEXAS INN","2901 PARK AVE","POINT (-77.4731 37.56028)"
"ONE LITTLE WORLD LLC",,"608W 30TH ST","POINT (-77.46543 37.51927)"
"TARGET CORPORATION #1931","TARGET STORE T-1931","7107 FOREST HILL AVE","POINT (-77.52721 37.53511)"
"SOL RISE ESSENTIALS LLC","SOL RISE ESSENTIALS","3160 ZION ST","POINT (-77.45535 37.47885)"
"SECURED NETWORK SOLUTIONS INC",,"912 EXECUTIVE COURT","POINT (-76.22988 36.76109)"
"MODLIN CENTER FOR THE ARTS",,"43 KELLER ROAD","POINT (-77.54343 37.5746)"
"MORDERN DESIGN LLC",,"420 OLD OTTERDALE RD","POINT (-77.68255 37.50181)"
"ALFRED J DICKINSON, INC REALTORS",,"4905 RADFORD AVE 100","POINT (-77.49524 37.58042)"
"FROEHLING & ROBERTSON INC",,"3015 DUMBARTON RD","POINT (-77.48828 37.60215)"
"BRUNOCLAY MANAGEMENT LLC",,"440 MAPLE AVE E 203","POINT (-77.51988 37.57272)"
"RICHMOND PRIVATE YOGA LLC",,"212 E CLAY ST 1A","POINT (-77.43785 37.54586)"
"REFRIGERATION DESIGN & SERVICE LLC",,"352 NEWBOLD RD",
"HISTORIC HOTELS OF RICHMOND LLC","THE JEFFERSON HOTEL","101 W FRANKLIN ST","POINT (-77.44491 37.54433)"
"ROBERT G BURNLEY LLC",,"5632 ST JAMES CT","POINT (-77.4993 37.53229)"
"NORRGARD JEFFEREY W",,"3300 GROVE AVE","POINT (-77.48132 37.55742)"
"KINDRED BROTHERS INC","KINDRED SPIRIT BREWING","1626 OWNBY LANE","POINT (-77.45911 37.5638)"
"BRIDY LEVAR","DREAM TEAM CLEANING SERVICES","3325 MEADOWBRIDGE ROAD","POINT (-77.42195 37.57816)"
"OLDS ESTATES & PROPERTIES LLC",,"7840 FOREST HILL AVE E","POINT (-77.54107 37.53368)"
"ROASTOLOGY LLC","ROASTOLOGY","3015 W CLAY ST","POINT (-77.47159 37.56638)"
"VIRGINIA SCHOOL EQUIPMENT CO",,"916 E MAIN ST 450","POINT (-77.43607 37.53808)"
"PORTNER ELECTRIC LLC",,"4945 LONG BRIDGE RD","POINT (-77.27209 37.43008)"
"INSTRUMENTATION & CONTROL SYSTEMS","ENGINEERING INC","10991 LEADBETTER RD","POINT (-77.4446 37.69762)"
"RUDLIN CRAIG","GALLERY 4600","4600 GROVE AVE","POINT (-77.49961 37.56552)"
"BLANCHARDS COFFEE CO",,"1903 WESTWOOD AVE A","POINT (-77.46856 37.57804)"
"STRATFORD PIZZA INC","ROCK FALLS TAVERN","2813 HATHAWAY ROAD","POINT (-77.51866 37.53847)"
"BOHO TO GO LLC","BOHO TO GO","1520 W MAIN ST 5","POINT (-77.46029 37.54751)"
"LUCY LEAKE INTERIORS LLC",,"3330 W LEIGH ST A","POINT (-77.47353 37.56942)"
"E A HOLSTEN INC",,"1400 OVERBROOK ROAD","POINT (-77.4549 37.56552)"
"ALEX & SON CONTRACTOR LLC",,"112 S PROVIDENCE RD 201","POINT (-77.54754 37.49519)"
"KELSO & EASTER INC","KEI ARCHITECTS","100 W FRANKLIN ST 400","POINT (-77.44462 37.54456)"
"DGMCE INC","BEAUCOUP","111 N ROBINSON ST","POINT (-77.47244 37.55334)"
"THE VEIL BREWING COMPANY LLC",,"1509 BELLEVILLE ST","POINT (-77.47494 37.57154)"
"FANTABULOUS CHEF SERVICE LLC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"TEACHING HANDS LEARNING ACADEMY CORP",,"451 BELT BLVD","POINT (-77.4728 37.50428)"
"SOLA CARYTOWN SQUARE LLC","SOLA SALONS","3224 W CARY ST A","POINT (-77.4836 37.55421)"
"U S ELECTRIC CO INC",,"6914 STAPLES MILL RD","POINT (-77.49625 37.61263)"
"WYLD & COMPANY LLC",,"8609 ACKLEY AVE","POINT (-77.49881 37.63283)"
"MIYABI SUSHI INC","MIYABI SUSHI","1712 E MAIN ST","POINT (-77.42813 37.53319)"
"MARSHALL ARTS PHOTOGRAPHY LLC",,"5218 SYLVAN RD","POINT (-77.4936 37.52607)"
"BRANDON ENTERPRISES LLC",,"716 GERMAN SCHOOL RD","POINT (-77.5094 37.51409)"
"M & F JAMAICAN CAFE ON WHEELZ LLC","M&F JAMAICAN RESTAURANT AND BAR","1400 SEMMES AVE","POINT (-77.45007 37.52408)"
"J.E.N.I. LLC",,"3031 W CARY ST","POINT (-77.47998 37.55291)"
"WHO COUNSELING SVCS LLC",,"2025 E MAIN ST 207","POINT (-77.4251 37.53136)"
"M & J LLC","RICHMOND MOTEL","2600 CHAMBERLAYNE AVE","POINT (-77.44452 37.56691)"
"JANET'S CAFE AND BAKERY LLC","JANET'S CAFE AND BAKERY","4701 FOREST HILL AVE C6","POINT (-77.48594 37.52051)"
"HELPING PEOPLE GROW AND ASSOCIATES INC",,"6767 FOREST HILL AVE 234","POINT (-77.51847 37.5377)"
"NB & C TECHNICAL SERVICES LLC",,"60950 MARSHALEE DR 300","POINT (-77.43814 37.54469)"
"RENOVATIONS EXPERT INC",,"5824 HUBBARD DR","POINT (-83.21151 36.71804)"
"AMERICAN PARTITION SYSTEMS INC.",,"8513 OAKVIEW AV","POINT (-77.50137 37.63078)"
"GIVING LOCAL",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"CHEZ NATALIE LLC","NATALIE'S TASTE OF LEBANON","2825 HATHAWAY RD","POINT (-77.51857 37.53865)"
"BUSH JR ERNEST F","BBP INVESTMENTS LP","8500 COURTHOUSE ROAD",
"PHEONIX CORP","LONESTAR SIDING AND WINDOWS","2305 COMMERCE CENTER DR L","POINT (-77.43301 37.49015)"
"ROYAL JUNK REMOVAL LLC",,"313 E BROAD ST","POINT (-77.43878 37.54367)"
"DAYMUSE STUDIOS LLC",,"3442 GROVE AVE","POINT (-77.48414 37.55843)"
"WOODLAND CONSTRUCTION INC",,"5008 EVELYN BYRD RD","POINT (-77.48765 37.52716)"
"FRANCIS EMILY","NEW DOMINION SOLUTIONS","2306 MAPLEWOOD AVE","POINT (-77.47265 37.54567)"
"TRONFELD JAY PC",,"4020 W BROAD ST","POINT (-77.4825 37.57304)"
"KIM JIN KYUNG","SOUTHSIDE AUTO REPAIR","300 BELT BLVD","POINT (-77.4786 37.50496)"
"CASAD MCKENZIE","CYPRESS PSYCHOTHERAPY","1312 W MAIN ST","POINT (-77.45768 37.5463)"
"LOVELACE STYLING CO LLC",,"4422 W GRACE ST","POINT (-77.49067 37.57351)"
"DELAWARE ELEVATOR INC",,"2210 ALLEN DR",
"SWEET P'S RVA LLC","SWEET P'S","304 W BROAD ST","POINT (-77.44477 37.54734)"
"BREEDLOVE MASONRY INC",,"11225 HOPSON ROAD","POINT (-77.44227 37.71167)"
"THAKUR INC","7-ELEVEN 25518B","2001 W BROAD ST","POINT (-77.4611 37.55676)"
"VIVO CONTRACTING LLC",,"8815 BELMONT RD",
"MARTIN THOMAS MARTIN","MTM LANDSCAPING","329 GREENWAY LANE","POINT (-77.50815 37.57453)"
"CLEARWATER MITIGATION II, LLC",,"4704 ROLFE RD","POINT (-77.50583 37.56202)"
"JOHNSON SELMA",,"418 N 2ND ST","POINT (-77.43871 37.54607)"
"E SIDNEY MARTIN III LLC",,"9020 STONY POINT PKWY 225","POINT (-77.56869 37.55398)"
"BOLEMAN LAW FIRM PC",,"2104 W LABURNUM AVE 201","POINT (-77.47159 37.58481)"
"EL O ELLA INC","EL O ELLA BEAUTY SALON","4705 WALMSLEY BLVD","POINT (-77.48148 37.46974)"
"COUNT ON ONE LLC","CORPORATE APPAREL","3617 SAUNDERS AVE","POINT (-77.47124 37.58142)"
"OLD DOMINION PAPER COMPANY OF VA","OLD DOMINION PAPER CO","3431 W LEIGH ST","POINT (-77.47494 37.57066)"
"BSLI INC",,"1051 E CARY ST 200","POINT (-77.43549 37.53503)"
"STAGE WHEELS LLC","STAGE WHEELS","2601  DECATUR ST","POINT (-77.45542 37.51263)"
"CONVERGINT TECHNOLOGIES",,"1651 WILKENING ROAD","POINT (-77.45788 37.55515)"
"WHEEL SIMPLE LLC","WHEEL SIMPLE BICYCLE REPAIR","2225 E CLAY ST","POINT (-77.4193 37.53476)"
"HANNAH MALLOY PHOTOGRAPHY LLC",,"3502 KENSINGTON AVE 3","POINT (-77.48387 37.56251)"
"MICHELE C INC","EAST VILLA RESTAURANT","1900 E MAIN ST","POINT (-77.42661 37.53227)"
"HAWTHORNES LLC","PROJECT PLUMBING SERVICES INC","701 TOWERING RD","POINT (-77.45104 37.6618)"
"LAWRENCE & ASSOCIATES OF VIRGINIA PLLC",,"701 E FRANKLIN ST 800","POINT (-77.43711 37.54)"
"JONES MICHELLE M","MICHELLES","5606 GROVE AVE","POINT (-77.51614 37.57344)"
"NO 1 BUS TOUR INC",,"900 W LEIGH ST","POINT (-77.44711 37.5532)"
"3 MIAH LLC","MAIN STREET MARKET","1802 E MAIN ST","POINT (-77.42746 37.53279)"
"PHIPPS BRITTANY C","SUN AND SELENE","3408W LEIGH ST","POINT (-77.47505 37.57075)"
"POPS 1 STOP LLC","POPS 1 STOP","4924 CHAMBERLAYNE AVE","POINT (-77.45051 37.60148)"
"FRUITBOWL LLC","FRUITBOWL","2927 W CARY ST A","POINT (-77.47849 37.55238)"
"CANTERBURY ENTERPRISES LLC",,"501 COMMERCE RD","POINT (-77.43735 37.51813)"
"EXPLORABLE TRAVELS LLC",,"1921 W CARY STREET A","POINT (-77.46618 37.548)"
"HOUSTON HENRY C JR",,"5000 BATHURST RD","POINT (-77.48893 37.4627)"
"DAIICHI SHOTOKAN VIRGINIA LLC",,"3919 HULL STREET RD","POINT (-77.4724 37.50264)"
"MCDANIEL CONTRACTOR SERVICES LLC",,"15386 OLD SPOTSWOOD TRL","POINT (-78.64151 38.40914)"
"BRILLIANT COMPUTER TRAINING INC",,"3127 GLENAN DR","POINT (-77.46384 37.47436)"
"WAL-MART STORES EAST LP","WAL-MART SUPERCENTER #2821","2501 SHEILA LN","POINT (-77.53141 37.53485)"
"IQ ELECTRICAL SERVICES LLC",,"1910 HOPE MEADOW WAY","POINT (-77.4738 37.53189)"
"LION EXPRESS LLC",,"1903 MONTEIRO ST","POINT (-77.43028 37.55944)"
"HAZAL TOBACCO 1 LLC","TOBACCO HUT","3039 W CARY ST","POINT (-77.48024 37.55301)"
"FIRST VIRGINIA ECOLOGICAL RESTORATION SE",,"3404 FENDALL AVE","POINT (-77.43581 37.57913)"
"COMMERCIAL ONE ENERGY MANAGEMENT INC","THE EV SUPER STORE","2300N LOMBARDY ST","POINT (-77.4476 37.56355)"
"FIRST STUDENT INC",,"1461 COMMERCE RD A","POINT (-77.43128 37.50912)"
"TXTUR LLC","STOCK","604 HULL ST","POINT (-77.43949 37.52369)"
"GREGORY FIRE SPRINKLER CORP",,"1900 TACONY DR","POINT (-77.52081 37.4797)"
"HARRISON JR JAMES E","J C H ENTERPRISE","5001 BONINGTON CT 1","POINT (-77.49108 37.46555)"
"GENUINE PARTS COMPANY",,"1700 COMMERCE RD","POINT (-77.42964 37.50123)"
"LUCHOS TIRE INC","LUCHOS AUTO DEALER","4207 RICHMOND HWY","POINT (-77.4428 37.46844)"
"EMZ CLEANING",,"4920 CHAMBERLAYNE AVE A","POINT (-77.45016 37.60111)"
"ELECTRICAL SERVICES UNLIMITED LLC",,"12103 HANOVER COURTHOUSE RD","POINT (-77.36147 37.73085)"
"QUICK AND EASY STORES, INC","CASH AND CARRY MARKET","4930 CHAMBERLAYNE AVE","POINT (-77.45042 37.60161)"
"GROWING CARE DEVELOPMENT SERVICES LLC",,"904 N 1ST ST 201","POINT (-77.4356 37.5509)"
"CAC CONSTRUCTION GROUP LLC",,"9962 BROOK RD 662","POINT (-77.44358 37.5517)"
"DUVAL SARAH C OD",,"901 E BYRD ST 160A","POINT (-77.4386 37.53501)"
"CORTEZ ARCHITECTURE + DESIGN PLLC",,"3809 HAWTHORNE AVE","POINT (-77.44554 37.58617)"
"ADAMS FUEL OILS CORPORATION",,"5770 HULL STREET ROAD","POINT (-77.49943 37.48537)"
"DIE BY FRY LLC",,"111 W BROOKLAND PARK BLVD","POINT (-77.43434 37.57159)"
"BELLES AND WHISTLES LLC","BELLES AND WHISTLES","611 N 26TH ST","POINT (-77.41502 37.5341)"
"VIRGINIA RESTORATION & CONSTRUCTION",,"1641 W BROAD ST","POINT (-77.45769 37.55504)"
"WINDSOR FOOD SERVICE INC","HENLEY ON GRACE","314 E GRACE ST","POINT (-77.43952 37.54281)"
"WITCHFINGERS LLC","WITCHFINGERS LLC","3104 STUART AVE B","POINT (-77.47723 37.55864)"
"W & H RESOURCES INC","PRIORITY ELEVATOR SERVICES","816 W MARSHALL ST","POINT (-77.44846 37.55088)"
"ARMON INC","AJM FOODMART","4400 COMMERCE RD","POINT (-77.42744 37.46441)"
"HINA ALI DMD","PATTERSON VILLAGE DENTISTRY","6714 PATTERSON AVE 210","POINT (-77.52796 37.58895)"
"CHUCKAMYS LLC","MOORE STREET CAFE","2904 MOORE ST","POINT (-77.46871 37.56699)"
