"Agency/Department","Contract Number","Contract Value","Supplier","Procurement Type","Description","Type of Solicitation","Effective From","Effective To"
"Human Resources","17000002993","$80,000,000.00","CIGNA HEALTHCARE","Request for Proposal","RFP / Joint Health Care Services / School Board of the City or Richmond / Joint Health Care Program / Initial Term of one (1) year with four (4) - one (1) year renewals and one extension / Currently in Extension #1 for 364 Days","Non Professional Services, Non Technology","2016 Oct 04 12:00:00 AM","2022 Dec 30 12:00:00 AM"
"Public Utilities","21000014202","$89,650.00","ITRON INC","Demand Payment","no renewal options Sole Source / Demand Payment / Department of Public Utilities / Itron Software Upgrade MVRS to FC/Requisition 220005949 / DPU / Demand Payment $76,150.00","Equipment - Non Technology","2021 Dec 31 12:00:00 AM","2022 Dec 30 12:00:00 AM"
"Public Works","23000004567","$424,123.08","Ferno Washington, Inc","Cooperative Agreement","Ferno Accessories for RRAA","Equipment - Non Technology","2022 Oct 27 12:00:00 AM","2022 Dec 30 12:00:00 AM"
"City Attorney","20000013092","$44,000.00","Municode LLC - INACTIVE","Request for Proposal","RFP / Professional Services / City Attorney / Codification Services / Initial One (1) year with Five (5) - One (1) year renewals and extension.","Professional Services","2021 Jan 01 12:00:00 AM","2022 Dec 31 12:00:00 AM"
"Planning & Development Review","21000000217","$453,589.96","BROOKS AND COMPANY GENERAL CONTRACTORS INC","Invitation to Bid","IFB / Construction Non Capital / Planning & Development Review / Change Order #3 for Ann Hardy Community Center Renovation / No additional days.","Construction - Capital/Non-Capital","2020 Jul 27 12:00:00 AM","2022 Dec 31 12:00:00 AM"
"Parks, Recreation and Community Facilities","21000004835","$445,485.83","Bofam Contractors Group, LLC","Invitation to Bid","C/O #4 and $5 (increased $30,459.68) C/O #2 and #3 (increased $31,466.39); Blanton House Roof Replacement Project & Exterior Improvements; Requisition #200010064","Construction - Term","2020 Oct 16 12:00:00 AM","2022 Dec 31 12:00:00 AM"
"Public Utilities","21000005654","$23,494,850.00","HMI Services","Invitation to Bid","IFB / Construction - Term / Department of Public Utilities / Gas Renewal Project / 210006547/Term: 2 yr base w/ 2 Initial Two (2) year term with Two (2) year renewals.","Construction - Term","2020 Nov 16 12:00:00 AM","2023 Jan 16 12:00:00 AM"
"Public Utilities","22000006663","$8,000,000.00","Jacobs Project Management Co.","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension.","Professional Services","2022 Jan 19 12:00:00 AM","2023 Jan 18 12:00:00 AM"
"Public Utilities","22000006665","$8,000,000.00","Jacobs Project Management Co.","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Wastewater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension.","Professional Services","2022 Jan 19 12:00:00 AM","2023 Jan 18 12:00:00 AM"
"Public Utilities","22000006666","$8,000,000.00","Jacobs Project Management Co.","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Water Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension.","Professional Services","2022 Jan 19 12:00:00 AM","2023 Jan 18 12:00:00 AM"
"Public Works","22000007333","$23,000.00","Sanitizing Solutions LLC - INACTIVE","Invitation to Bid","Sanitization of facilities for DPW; Positive Coronavirus Cases","Non Professional Services, Non Technology","2022 Jan 27 12:00:00 AM","2023 Jan 27 12:00:00 AM"
"Public Works","22000007534","$319,681.25","FLB Contractors Inc","Invitation to Bid","Sidewalk Improv/Repairs - Pkg #1; 600 Roseneath Rd., 800 W. Laburnum Ave., 900 W. Laburnum Ave., 800 Westover Hills Blvd., 1500 Westover Hills Blvd., 3200 Ellwood Ave., 4200 Patterson Ave., 4600 Forest Hill Ave., and 5200 Forest Hill Ave.","Construction - Capital/Non-Capital","2022 Jan 28 12:00:00 AM","2023 Jan 27 12:00:00 AM"
"Public Works","22000007541","$444,229.75","FLB Contractors Inc","Invitation to Bid","Sidewalk Improvements/Repairs Pkg #2: 200 N. 25th St., 300 N. Harrison St., 700 Mosby St., 800 Maury St., 900 Maury St., 100 Maury St., 1500 Mechanicsville Tnpke., 2000 Broad Rock Blvd. and 2400 E. Marshall St.","Construction - Capital/Non-Capital","2022 Jan 28 12:00:00 AM","2023 Jan 27 12:00:00 AM"
"Planning & Development Review","17000013276","$40,000.00","H & H REAL ESTATE DEVELOPMENT","Invitation to Bid","IFB / Goods and Services / Planning & Development Review / Boarding and Securing of Properties / Initial Two (2) year term with Three (3) - One (1) year renewals","Non Professional Services, Non Technology","2017 Jan 31 12:00:00 AM","2023 Jan 31 12:00:00 AM"
"Public Utilities","19000017923","$2,804,918.15","VIRTEXCO CORPORATION","Agency Request","IFB #190015508 / Construction / Department of Public Utilities / Water Treatment Plant Facilities Modifications Project","Construction - Capital/Non-Capital","2019 May 31 12:00:00 AM","2023 Jan 31 12:00:00 AM"
"Public Works","22000007327","$23,000.00","VACD INC - INACTIVE","Invitation to Bid","Sanitizing Department of Public Works Facilities: Positive Coronavirus Cases","Non Professional Services, Non Technology","2022 Feb 03 12:00:00 AM","2023 Feb 02 12:00:00 AM"
"Public Works","22000007338","$22,000.00","Sanistaff LLC - INACTIVE","Invitation to Bid","Sanitization of Public Works Facilities: Positive Corona virus cases","Non Professional Services, Non Technology","2022 Feb 03 12:00:00 AM","2023 Feb 02 12:00:00 AM"
"Public Utilities","17000013557","$1,493,267.93","Core & Main LP","Invitation to Bid","IFB / Supplies - Non Technology / Department of Public Utilities / Coppersetters, Resetters, BrassFittings / Initial two (2) years with three (3) - One (1) year renewal terms and extension.","Equipment - Non Technology","2017 Feb 13 12:00:00 AM","2023 Feb 09 12:00:00 AM"
"Public Works","21000012641","$814,755.14","Richardson-Wayland Electrical Company","Invitation to Bid","IFB #210008429 / Construction / Department of Public Works / Systematic Site Distance Improvements at Traffic Signals Project (UPC 113811) / No additional Renewals","Construction - Capital/Non-Capital","2021 May 17 12:00:00 AM","2023 Feb 10 12:00:00 AM"
"Public Utilities","22000000993","$1,850,809.00","Brenntag Mid South","Invitation to Bid","IFB / Supplies - Non Technology / Department of Public Utiliites / Ferric Chloride / Initial term one (1) year with Four (4) - One (1) year renewals and extension.","Commodity","2017 Mar 01 12:00:00 AM","2023 Feb 23 12:00:00 AM"
"Public Utilities","17000014945","$2,000,000.00","Hajoca Corporation","Invitation to Bid","IFB / Supplies - Non Technology / Department of Public Utilities / Aluminum Hatches / Initial Term o Two (2) years with One (1) - Two (2) year renewal.","Supplies, Non Technology","2017 Feb 27 12:00:00 AM","2023 Feb 26 12:00:00 AM"
"Human Resources","22000006367","$767,826.03","SHI INTERNATIONAL CORP","Cooperative Agreement","Requisition 220005802/OMNIA Cooperative Agreement 2018011/NeoGOV Annual Bundle - Year 1 (LMS Subscription and Onboard Subscription)","Non Professional Services, Technology","2021 Dec 30 12:00:00 AM","2023 Feb 28 12:00:00 AM"
"Police Department","22000010703","$30,126.24","Heartline Fitness Products Inc","Cooperative Agreement","Heatline Coop Agreement No. 44000009697 - 2 one-year renewal options.","Equipment - Non Technology","2022 Apr 28 12:00:00 AM","2023 Feb 28 12:00:00 AM"
"Police Department","22000010705","$26,377.00","Promaxima - INACTIVE","Cooperative Agreement","Promaxima Coop Agreement No. 44000009697 - 2 one-year renewal options.","Equipment - Non Technology","2022 Apr 28 12:00:00 AM","2023 Feb 28 12:00:00 AM"
"Police Department","22000011521","$24,136.43","Heartline Fitness Products Inc","Cooperative Agreement","Coop agreement for Exercise Equipment Accessories and Parts/Police","Equipment - Non Technology","2022 May 19 12:00:00 AM","2023 Feb 28 12:00:00 AM"
"Public Works","22000005159","$329,357.04","ADDO ENTERPRISE INC","Invitation to Bid","Oak Grove Elementary School Pedestrian Safety Improvement Project","Construction - Term","2022 Jan 07 12:00:00 AM","2023 Mar 07 12:00:00 AM"
"Public Works","22000009346","$979,278.04","Richardson-Wayland Electrical Company","Invitation to Bid","IFB#220007229 - Three Traffic Signal Upgrade Project / CO#1 NOV 14, 2022","Non Professional Services, Non Technology","2022 Mar 21 12:00:00 AM","2023 Mar 20 12:00:00 AM"
"Public Works","21000004375","$996,989.22","VIRTEXCO CORPORATION","Invitation to Bid","IFB / Construction - Non Capital / Department of Public Works / John Marshall Courts Security Renovation/ 330 calendar days","Construction - Capital/Non-Capital","2020 Oct 18 12:00:00 AM","2023 Mar 21 12:00:00 AM"
"Public Works","22000007964","$230,944.00","MCNEILUS FINANCIAL INC","Cooperative Agreement","Two (2) 2022 McNeilus 2011 HD 3.5YD Rear Load Refuse Bodies","Equipment - Non Technology","2022 Mar 23 12:00:00 AM","2023 Mar 22 12:00:00 AM"
"Public Works","18000006065","$900,000.00","Infrastructure Solutions Group","Invitation to Bid","IFB / Goods and Services - Non Technology / Department of Public Works / Parts and Repair Service for Vactors and Sweepers / Initial term of Two (2) years with Three (3) -One (1) year renewals and extension.","Equipment - Non Technology","2017 Sep 28 12:00:00 AM","2023 Mar 27 12:00:00 AM"
"City Wide","20000006410","$500,000.00","Multi Service Technology Solutions","Cooperative Agreement","Fairfax County Cooperative Agreement / Supplies No Technology / City Wide / Safety Shoes / Term Three (3) of Three (3)","Supplies, Non Technology","2019 Oct 28 12:00:00 AM","2023 Mar 31 12:00:00 AM"
"Public Works","22000004711","$690,906.00","WACO INC","Invitation to Bid","IFB / Construction / Department of Public Works / Fleet Maintenance Paint Booth / Perf. Period 270 Consecutive calendar days","Construction - Capital/Non-Capital","2021 Nov 01 12:00:00 AM","2023 Apr 03 12:00:00 AM"
"Public Utilities","20000009776","$56,200.00","Labworks LLC","Agency Request","SS/DPU/Labworks Software/Term 13of 3/Req. 200009767","Supplies, Technology","2020 Apr 09 12:00:00 AM","2023 Apr 08 12:00:00 AM"
"Finance","23000002116","$13,500.00","USI Consulting Group","Small Purchase","APA Comparative Cost Report FY 2022","Professional Services","2022 Aug 23 12:00:00 AM","2023 Apr 14 12:00:00 AM"
"Public Works","23000009640","$799,162.00","MCNEILUS FINANCIAL INC","Cooperative Agreement","Requisition 230007504 / DPW / Co-Op / Sourcewell 091219-MCN / One Time Purchase / 7x Garbage Trucks","Equipment - Non Technology","2023 Apr 05 12:00:00 AM","2023 Apr 14 12:00:00 AM"
"Public Works","22000010699","$297,590.00","Strickland Waterproofing Co., Inc.","Invitation to Bid","IFB - Requisition #220006465 / Construction / Department of Public Works / Repairs to Diamond Stadium / Performnanbce time of 250 days.","Construction - Capital/Non-Capital","2022 Jun 15 12:00:00 AM","2023 Apr 15 12:00:00 AM"
"Public Utilities","20000011160","$75,000.00","BELFOR USA Group, Inc","Cooperative Agreement","Cooperative Agreement / E194-80473 / DPU / Percy Wyatt / 2 one year renewal options / Waste Water Collection","Non Professional Services, Non Technology","2020 Feb 26 12:00:00 AM","2023 Apr 27 12:00:00 AM"
"Public Utilities","18000004407","$1,140,349.00","ITRON INC","Invitation to Bid","IFB / Goods and Services / Department of Public Utilities / Gas Regulators and Repair Parts / Initial term of Two (2) years with Three (3) - One (1) year renewals and extension","Supplies, Non Technology","2019 Sep 28 12:00:00 AM","2023 Apr 28 12:00:00 AM"
"Public Works","22000003265","$278,268.00","SIMONS CONTRACTING CO","Invitation to Bid","IFB / Construction - Non Capital / Department of Public Works / 2020 Traffic Calming Project (Project 106362) / Performance Period - 90 Consecutive Calendar Days","Construction - Capital/Non-Capital","2021 Oct 01 12:00:00 AM","2023 Apr 28 12:00:00 AM"
"Information Technology","17000009160","$5,419,648.00","XEROX CORPORATION","Cooperative Agreement","Cooperative - VITA Contract VA-130405-XERX / Services - Non Professional - Technology / City Wide / City-Wide Printers, Managed Print Services / Emergency Extension","Supplies, Technology","2016 Dec 01 12:00:00 AM","2023 Apr 30 12:00:00 AM"
"Public Works","21000012860","$248,105.43","SIMONS CONTRACTING CO","Invitation to Bid","IFB# 210010317 / VDOT Construction / DPW / 90 day Performance Period","Construction - Capital/Non-Capital","2021 Jun 24 12:00:00 AM","2023 May 01 12:00:00 AM"
"Public Works","22000006820","$1,817,821.22","Team Henry Enterprises, LLC","Invitation to Bid","IFB / Construction /Department of Public Works / Statue and Grave Removal, Pedestal Removal, Site Work, and Statuary Storage Relocation","Construction - Term","2022 Jan 13 12:00:00 AM","2023 May 01 12:00:00 AM"
"Emergency Communication","18000022674","$178,228.54","Intrado Inc - INACTIVE","Cooperative Agreement","Replaced by 21/6443 Supplier Name Change 911 Equipment & emergency Notification Software and Services - Expansion 8 positions/5 years/Houston -Galveston Area Council Contract No. EC07-16","Equipment - Technology","2018 May 04 12:00:00 AM","2023 May 03 12:00:00 AM"
"Circuit Court","22000011015","$0.00","SunTrust Banks, Inc - INACTIVE","Request for Proposal","RFP 220007057/Clerk of Circuit Court","Non Professional Services, Non Technology","2022 May 06 12:00:00 AM","2023 May 05 12:00:00 AM"
"Human Resources","20000015248","$2,326,029.72","HCA HEALTH SERVICES OF VA INC","Request for Proposal","RFP / Services - Non Professional and Non Technology / City Wide Contract / Employee Related Medical Services and Testing/ Two (2) year initial with Three (3) - One (1) year renewals and extension","Non Professional Services, Non Technology","2020 May 07 12:00:00 AM","2023 May 06 12:00:00 AM"
"Emergency Communication","21000006443","$77,319.62","Intrado Life & Safety Solutions Corp","Cooperative Agreement","Cooperative Agreement / Department of Emergency Communications / Replaces Agreement #180000022674","Non Professional Services, Technology","2018 May 07 12:00:00 AM","2023 May 06 12:00:00 AM"
"Public Utilities","20000012297","$390,000.00","CARTER MACHINERY COMPANY INC","Request for Proposal","Cooperative / Commodity / Department of Public Works / Caterpillar Equip. Rentals - Sourcewell Contract 032119-CAT / Initial Term of Four (4) years with One (1) year renewal.","Equipment - Non Technology","2020 Mar 23 12:00:00 AM","2023 May 13 12:00:00 AM"
"Finance","19000020116","$158,331.20","CREATIVE INSURANCE CONCEPTS INC - INACTIVE","Invitation to Bid","IFB - Requisition #19001685R / Services - Non Professional & Non Technology / Risk Management , Department of Finance / Certificate of Insurance tracking services / Initial term of Two (2) years / Two (2) - Two (2) year renewals and ext.","Non Professional Services, Non Technology","2019 May 16 12:00:00 AM","2023 May 15 12:00:00 AM"
"Public Utilities","18000009197","$2,106,914.00","Richland Industries LLC","Invitation to Bid","IFB / Good and Services / Department of Public Utilities / Settling Tank Parts & Repair / Initial Term of Two (2) years with Three (3) - One (1) year renewals and extension.","Supplies, Non Technology","2019 Nov 06 12:00:00 AM","2023 May 16 12:00:00 AM"
"Public Works","22000005481","$661,015.16","B & B SIGNAL CO LLC","Invitation to Bid","IFB#220001319 - HSIP Pedestrian Improvements at Signalized Intersections - Phase 1B (UPC 116746); 240 consecutive days.","Construction - Capital/Non-Capital","2022 Apr 15 12:00:00 AM","2023 May 16 12:00:00 AM"
"Public Works","22000007808","$1,066,220.38","Richardson-Wayland Electrical Company","Invitation to Bid","Change Order No. 1; IFB#220002796 - Pedestrian Hybrid Beacon (PHB) Project (UPC 110880) Change order #2 adding $77,001.77","Construction - Capital/Non-Capital","2022 Feb 01 12:00:00 AM","2023 May 16 12:00:00 AM"
"Parks, Recreation and Community Facilities","22000010694","$10,000.00","VANASSE HANGEN BRUSTLIN INC","Grant Opportunity","Grant - Requisition #220011770 / Services - Non Professional & Non Technology / Parks, Recreation and Community Facilities / Environmental Literacy Program / No additional terms","Non Professional Services, Non Technology","2022 May 17 12:00:00 AM","2023 May 16 12:00:00 AM"
"Public Utilities","21000012274","$300,000.00","MULCARE PIPELINE SOLUTIONS","Invitation to Bid","IFB 210011558/YZ Parts and Equipment","Supplies, Non Technology","2021 May 18 12:00:00 AM","2023 May 17 12:00:00 AM"
"Police Department","23000001179","$250,000.00","Galls LLC","Cooperative Agreement","Cooperative - Requisition #230000773 / Supplies - Non Technology / Police Department / Initial Term of One (1) year with Four (4) - One (1) year renewals","Non Professional Services, Non Technology","2022 Aug 16 12:00:00 AM","2023 May 19 12:00:00 AM"
"Community Wealth Building","22000010493","$300,000.00","Brightpoint Community College","Exempt Purchase","Certification classes and training for participants of the City's Center for Workforce Innovation/Requisition #220011343","Non Professional Services, Non Technology","2022 May 26 12:00:00 AM","2023 May 25 12:00:00 AM"
"Public Utilities","18000024780","$345,000.00","BINGHAM AND TAYLOR CORPORATION - INACTIVE","Invitation to Bid","Rates updated 12-15-2021 cps; Gas Curb Boxes/Term 1 of 5/180006967","Supplies, Non Technology","2018 May 29 12:00:00 AM","2023 May 28 12:00:00 AM"
"Library, Richmond Public","17000021105","$378,542.00","NEW MARKET GROUNDS CORP","Invitation to Bid","IFB #170017601 / Services Non Professional and Non Technology / Richmond Public Libraries / Lawn and Landscape Maintenance Services / Initial Term of One (1) Year Initial with Three (3) - One (1) year renewals and exrtension.","Non Professional Services, Non Technology","2017 May 31 12:00:00 AM","2023 May 30 12:00:00 AM"
"Public Utilities","18000024782","$345,000.00","C.P. TEST AND VALVE PRODUCTS","Invitation to Bid","Gas Curb Boxes/Term 1 of 5/H180006967","Supplies, Non Technology","2018 Jun 01 12:00:00 AM","2023 May 31 12:00:00 AM"
"Public Utilities","22000009504","$0.00","Enerwise - INACTIVE","Cooperative Agreement","Requisition 220010695/Emergency Capacity Demand Response","Non Professional Services, Non Technology","2022 May 09 12:00:00 AM","2023 May 31 12:00:00 AM"
"Fire and Emergency Services","23000004520","$2,121,000.00","Toyne Inc.","Cooperative Agreement","Cooperative / Equipment - Non Technology / Department of Public Works / Houston -Galveston Area Council (H-GAC); Three (3) 2024 Toyne/Spartan Pumper Trucks","Equipment - Non Technology","2022 Oct 27 12:00:00 AM","2023 May 31 12:00:00 AM"
"Fire and Emergency Services","23000008704","$1,583,645.00","ATLANTIC EMERGENCY SOLUTIONS INC","Cooperative Agreement","Cooperative / Equipment - Non-Technology / Fire and Emergency Services / Co-Op; HGAC FS12-19 Fire Truck / No additional terms.","Equipment - Non Technology","2023 Mar 02 12:00:00 AM","2023 May 31 12:00:00 AM"
"Public Utilities","23000009168","$127,222.00","Hall Automotive LLC","Invitation to Bid","IFB Requisition #230009696 / Equipment - Non-Technology / Department of Public Utilities / One Time Purchase of Two Ford Pickup Trucks / No additional terms","Equipment - Non Technology","2023 Mar 15 12:00:00 AM","2023 May 31 12:00:00 AM"
"Public Utilities","21000010900","$4,793,940.00","Garney Companies, Inc.","Invitation to Bid","Byrd Park Reservoir Zone 1N Supply Main and Inlet Valve Replacement/Requisition 210006715/425 consecutive calendar days","Construction - Capital/Non-Capital","2021 Apr 04 12:00:00 AM","2023 Jun 05 12:00:00 AM"
"Parks, Recreation and Community Facilities","22000009361","$923,526.14","BROOKS AND COMPANY GENERAL CONTRACTORS INC","Invitation to Bid","IFB#220004303 Powhatan Community Center Addition and Renovation","Construction - Term","2022 Mar 25 12:00:00 AM","2023 Jun 10 12:00:00 AM"
"Public Works","18000010981","$6,250,000.00","SIMONS CONTRACTING CO","Invitation to Bid","Annual Street and Sewer Construction/2nd renewal of 5/16000005304 Construction","Construction - Term","2017 Dec 17 12:00:00 AM","2023 Jun 15 12:00:00 AM"
"Public Works","18000011177","$4,000,000.00","ADDO ENTERPRISE INC","Invitation to Bid","IFB / Construction - Term / Department of Public Woks / Initial One (1) year with Four (4) - One (1) year renewals and extension.","Construction - Term","2017 Dec 16 12:00:00 AM","2023 Jun 15 12:00:00 AM"
"Public Works","20000008976","$400,000.00","American Fleet Services LLC","Invitation to Bid","IFB - Requisition #170009576R / Supplies - Non-Technology / Department of Public Works / OEM Parts and Labor on International, Peterbilt, Kenworth, and Freightliner / Initial term of Two (2) years /Two (2) - Twp (2) year renewals & Ext.","Non Professional Services, Non Technology","2017 Mar 21 12:00:00 AM","2023 Jun 21 12:00:00 AM"
"Public Works","17000023008","$15,897,736.10","KIMLEY-HORN AND ASSOC INC","Request for Proposal","4-28-22 Per Agency Close upon Expiration /Annual Engineering and Construction Related Non-Professional Services for the City's Capital Improvement Plan/Term 4 of 4","Non Professional Services, Non Technology","2017 Jun 26 12:00:00 AM","2023 Jun 25 12:00:00 AM"
"Social Services","17000014679","$750,882.00","WELLSKY HUMAN & SOC SERVICES","Agency Request","Sole Source / Service - Non-Professional, Technology / Social Services / Software /No additional terms.","Non Professional Services, Technology","2017 Feb 08 12:00:00 AM","2023 Jun 30 12:00:00 AM"
,"19000004710","$99,999,999.00","VCU CENTER FOR ENVIRONMENTAL",,"Gov-to-Gov/VCU/DPU/Water Quality Monitoring",,"2018 Sep 05 12:00:00 AM","2023 Jun 30 12:00:00 AM"
"City Attorney","19000020015","$52,500.00","BALLATO LAW FIRM PC","Request for Proposal","Collection Legal Services","Professional Services","2020 Jul 01 12:00:00 AM","2023 Jun 30 12:00:00 AM"
"City Wide","19000021908","$8,000,000.00","RE REPLACEMENT PARTS INC","Cooperative Agreement","Industrial Supplies/ Virginia State Contract No. E19-80584","Supplies, Non Technology","2019 Jun 13 12:00:00 AM","2023 Jun 30 12:00:00 AM"
"City Wide","19000021987","$8,000,000.00","Encompass Supply","Cooperative Agreement","Industrial Supplies/ Virginia State Contract No. E19-80584","Supplies, Non Technology","2019 Jun 13 12:00:00 AM","2023 Jun 30 12:00:00 AM"
"City Wide","20000009176","$300,000.00","FASTENAL COMPANY","Cooperative Agreement","Modification No. 1 - Increase contract amount $75,000; City Wide using State Contract E-194-80584","Supplies, Non Technology","2020 Jan 13 12:00:00 AM","2023 Jun 30 12:00:00 AM"
"Public Works","21000002322","$63,114.01","Econolite Systems, Inc","Agency Request","Sole Source 210000677/Services/DPW/Centracs central system software","Non Professional Services, Technology","2020 Jul 01 12:00:00 AM","2023 Jun 30 12:00:00 AM"
"Human Resources","21000014199","$35,869.74","GOVERNMENT JOBS.COM INC","Exception Purchase","Neo Go-Software License/Requisition 210015229/Term: 2 yr base w/ 4-one year renewal options.","Non Professional Services, Non Technology","2021 Jun 30 12:00:00 AM","2023 Jun 30 12:00:00 AM"
"City Attorney","23000000406","$19,848.00","LexisNexis Risk Data Management Inc","Exempt Purchase","Requisition #230000305/Lexis Nexis, City Attorney Monthly Subscription, Management Services, Purchase Order thru June 30th, 2023","Non Professional Services, Technology","2022 Jul 07 12:00:00 AM","2023 Jun 30 12:00:00 AM"
"Parks, Recreation and Community Facilities","23000002870","$28,090.00","Central Virginia Sports Conference","Agency Request","Small/Services Non-Prof. Non Tech/Parks and Recs./Youth Football Services","Non Professional Services, Non Technology","2022 Aug 01 12:00:00 AM","2023 Jun 30 12:00:00 AM"
"Public Utilities","23000010074","$549,951.00","CARTER MACHINERY COMPANY INC","Cooperative Agreement","Requisitions 230010599 & 230010605/Carter Machinery 2023 Cat 930M Wheel Loader & 2023 Cat 950M Wheel Loader/NASPO Contract# OK-SW-192","Non Professional Services, Non Technology","2023 Apr 14 12:00:00 AM","2023 Jul 10 12:00:00 AM"
"Public Works","22000000171","$75,000.00","Hogwash Express Car Wash, LLC","Invitation to Bid","Offsite Vehicle Wash Service; IFB#210013875; Two (2) year initial contract terms; three (3) one-year renewal options.","Non Professional Services, Non Technology","2021 Jul 12 12:00:00 AM","2023 Jul 11 12:00:00 AM"
"Public Works","10093-1","$1,567,393.08","JOHNSON MIRMIRAN AND THOMPSON","Request for Proposal","RFP/Service/DPW/DESIGN PROFESSIONAL SERVICES COMMERCE ROAD IMPROVEMENTS/Term 1 of 1/10093-1","Professional Services","2011 Oct 27 12:00:00 AM","2023 Jul 11 12:00:00 AM"
"Public Works","21000000129","$12,362,971.88","LEE HY PAVING CORP","Invitation to Bid","Renewal 2 of 4 Available","Construction - Capital/Non-Capital","2020 Jul 12 12:00:00 AM","2023 Jul 11 12:00:00 AM"
"Public Works","21000000133","$16,908,994.00","LEE HY PAVING CORP","Invitation to Bid","FY 21 2inch Mill and Overlay Paving/365 consecutive calendar days w/ 4 one-year renewal options/Req. 200016605","Construction - Term","2020 Jul 12 12:00:00 AM","2023 Jul 11 12:00:00 AM"
"Public Works","22000008811","$75,000.00","4205 West Broad Street OpCo LLC","Invitation to Bid","Contract name change from Hogwash Express Car Wash LLC (Contract #22000000171); Offsite Vehicle Wash Service; IFB#210013875; Two (2) year initial contract terms; three (3) one-year renewal options.","Non Professional Services, Non Technology","2021 Jul 12 12:00:00 AM","2023 Jul 11 12:00:00 AM"
"Public Works","18000021289","$100,000.00","ASHBYS BRAKE AND TRUCK REPAIR INC - INACTIVE","Invitation to Bid","IFB - Requisition #18000021289 / Services - Non-Professional and Non-Technology / Department of Public Works/ Service Repairs & Parts for Diverse Fleet of Off-Road Equipment/ In First 90 days of extension.","Non Professional Services, Non Technology","2018 Apr 12 12:00:00 AM","2023 Jul 12 12:00:00 AM"
"Public Works","22000010798","$136,544.16","All Roads Equipment LLC","Invitation to Bid","IFB - Requisition #180017393 / Serices - Nop-Professional and Non-Technolgy / Department of Public Works / Service Repairs & Parts for Diverse Fleet of Off-Road Equipment / Initial Term One (1) year with Four (4) - One (1) year renewals, ex","Non Professional Services, Non Technology","2018 Apr 12 12:00:00 AM","2023 Jul 12 12:00:00 AM"
"Public Utilities","20000010660","$209,588.45","MERCURY INSTRUMENTS LLC - INACTIVE","Agency Request","Gas Meter Correctors and Spare Parts / Requisition #200005841 / Term 1 of 3","Non Professional Services, Non Technology","2021 Jul 14 12:00:00 AM","2023 Jul 13 12:00:00 AM"
"Planning & Development Review","22000007686","$10,000.00","Jacqueline Drayer - INACTIVE","Small Purchase","Small / Services - Non Professional & Non Technology / Planning & Development Review / Non Professional Historical Preservation Services / Expires July 13, 2023.","Non Professional Services, Non Technology","2022 Jan 10 12:00:00 AM","2023 Jul 14 12:00:00 AM"
"Public Works","21000000309","$20,000.00","DEWBERRY ENGINEERS INC","Agency Request","Marshal Plaza Assessment/Till completion/Req. 200017971","Professional Services","2020 Jul 17 12:00:00 AM","2023 Jul 17 12:00:00 AM"
"Parks, Recreation and Community Facilities","23000000296","$589,292.00","Webb Development LLC","Invitation to Bid","IFB#220009653 - Blackwell Park Basketball Court Relocation","Construction - Capital/Non-Capital","2022 Jul 19 12:00:00 AM","2023 Jul 18 12:00:00 AM"
"Public Utilities","20000000050","$7,000,000.00","Brown and Caldwell","Request for Proposal","RFP / Services - Non-Professional and Non-Technology / Department of Public Utilities / RVA Clean Water Plan / Initial Term of One (1) year with Four (4) - One (1) Year renewals and extension.","Non Professional Services, Non Technology","2019 Jul 25 12:00:00 AM","2023 Jul 24 12:00:00 AM"
"Public Works","22000012877","$873,527.77","COLONY CONSTRUCTION INC","Invitation to Bid","Resurfacing Portions Belt Boulevard (N) Bells Road (W) and Bells Road (E) IFB 220009177","Construction - Term","2023 May 01 12:00:00 AM","2023 Jul 24 12:00:00 AM"
"Public Works","22000005987","$1,835,797.90","B & B SIGNAL CO LLC","Invitation to Bid","IFB 22000192 / Construction / DPW / Systemic Pedestal To Mast Arm Signal Improvements Project (UPC 110841) / Performance Period - 390 consecutive calendar days.","Construction - Capital/Non-Capital","2021 Dec 16 12:00:00 AM","2023 Jul 25 12:00:00 AM"
"Public Works","21000005278","$1,989,168.59","VIRTEXCO CORPORATION","Invitation to Bid","IFB / Construction - Capital Project / Department of Public Works / Southside Community Center - Phase II Part 1 / No additional terms.","Construction - Capital/Non-Capital","2020 Dec 28 12:00:00 AM","2023 Aug 03 12:00:00 AM"
"Public Works","22000001070","$150,000.00","FLB Contractors Inc","Invitation to Bid","IFB #210010276 / Construction / Department of Public Works / Annual Bridge and Maintenance Repair Contract / Initial Term of Contract Two (2) years with Two (2) - Two (2) year renewals and One (1) Extension","Construction - Term","2021 Aug 05 12:00:00 AM","2023 Aug 04 12:00:00 AM"
"Public Works","22000001076","$100,000.00","M D MILLER CO INC - INACTIVE","Invitation to Bid","IFB #210008429 / Construction / Department of Public Works / Annual Bridge and Maintenance Repair Contract / Initial Term of Contract Two (2) years with Two (2) - Two (2) year renewals and One (1) Extension","Construction - Capital/Non-Capital","2021 Aug 05 12:00:00 AM","2023 Aug 04 12:00:00 AM"
